#SYM,AVAILABLE,REBATERATE,FEERATE
AM,6200000,5.0700,0.2500
AMADY,3000,-12.5051,17.8251
AMAL,250000,4.8999,0.4201
AMAM,1900000,-0.1488,5.4688
AMAT,8500000,5.0700,0.2500
AMAX,800,-17.8969,23.2169
AMBA,300000,5.0556,0.2644
AMBBF,65000,-9.2253,14.5453
AMBBY,1000,5.0700,0.2500
AMBC,900000,4.2272,1.0928
AMBD,1200000,5.0700,0.2500
AMBI,6000,-5.9783,11.2983
AMBK,1000,-4.3539,9.6739
AMBO,950000,-6.2490,11.5690
AMBP,5600000,4.8568,0.4632
AMBS,6700000,5.0700,0.2500
AMBZ,85000,-2.7301,8.0501
AMCF,35000,5.0700,0.2500
AMCG,75000,5.0700,0.2500
AMCO,100000,5.0700,0.2500
AMCR,9300000,5.0700,0.2500
AMCT,65000,5.0700,0.2500
AMCX,1400000,4.9090,0.4110
AMCY,300,NA,NA
AMD,10000000,5.0012,0.3188
AMDS,10000,-8.2841,13.6041
AMDY,35000,-93.6035,98.9235
AME,2000000,4.9119,0.4081
AMED,300000,4.8902,0.4298
AMEH,100000,4.9326,0.3874
AMFC,10000,4.4146,0.9054
AMFL,25000,3.4403,1.8797
AMG,250000,4.9119,0.4081
AMGC,5000,5.0700,0.2500
AMGN,4300000,5.0700,0.2500
AMGU,10000,5.0700,0.2500
AMGY,70000,5.0700,0.2500
AMH,3400000,5.0700,0.2500
AMHD,20000,5.0700,0.2500
AMHG,8000,-8.9069,14.2269
AMID,15000,-0.5765,5.8965
AMIGY,90000,-0.5765,5.8965
AMIH,500000,-13.4471,18.7671
AMIN,10000,5.0700,0.2500
AMIX,9000,-50.1318,55.4518
AMJ,150000,2.8363,2.4837
AMK,650000,4.9119,0.4081
AMKBY,150000,2.6669,2.6531
AMKR,1900000,4.9119,0.4081
AMLH,10000000,5.0700,0.2500
AMLI,1400000,-30.7106,36.0306
AMLM,1200000,5.0700,0.2500
AMLP,750000,-0.8049,6.1249
AMLX,800000,4.8063,0.5137
AMMJ,5500000,-16.0452,21.3652
AMMPF,4800000,-28.4606,33.7806
AMMX,85000,5.0700,0.2500
AMN,400000,5.0700,0.2500
AMNB,65000,4.8746,0.4454
AMNCB,4000,5.0700,0.2500
AMNE,10000000,5.0700,0.2500
AMNF,2000000,-2.3924,7.7124
AMNI,25000,5.0700,0.2500
AMNL,6400000,5.0700,0.2500
AMNP,45000,5.0700,0.2500
AMOM,30000,-5.9946,11.3146
AMP,850000,4.9119,0.4081
AMPD,6000,-12.7549,18.0749
AMPDF,250000,0.1927,5.1273
AMPE,30000,-84.8701,90.1901
AMPG,550000,2.5454,2.7746
AMPH,150000,5.0700,0.2500
AMPL,1100000,3.1151,2.2049
AMPS,100000,5.0040,0.3160
AMPW,70000,5.0700,0.2500
AMPX,350000,-26.2792,31.5992
AMPY,5600000,4.7388,0.5812
AMR,1100000,5.0700,0.2500
AMRA,300000,5.0700,0.2500
AMRC,75000,4.9868,0.3332
AMRK,1400000,4.9027,0.4173
AMRN,10000000,4.5274,0.7926
AMRSQ,2100000,-1.3061,6.6261
AMRU,1500000,5.0700,0.2500
AMRX,6300000,5.0076,0.3124
AMS,80000,4.9119,0.4081
AMSC,600000,4.7691,0.5509
AMSE,300000,5.0700,0.2500
